Round;Date;HomeTeam;AwayTeam;HG;AG;TotalGoals;Res
33;29-04-2024 0:00;Barcelona;Valencia;4;2;6;Home
33;28-04-2024 0:00;Betis;Sevilla;1;1;2;Tie
33;28-04-2024 0:00;Villarreal;Rayo Vallecano;3;0;3;Home
33;28-04-2024 0:00;Granada CF;Osasuna;3;0;3;Home
33;28-04-2024 0:00;Cadiz CF;Mallorca;1;1;2;Tie
33;27-04-2024 0:00;Atl. Madrid;Ath Bilbao;3;1;4;Home
33;27-04-2024 0:00;Alaves;Celta Vigo;3;0;3;Home
33;27-04-2024 0:00;Almeria;Getafe;1;3;4;Away
33;27-04-2024 0:00;Las Palmas;Girona;0;2;2;Away
33;26-04-2024 0:00;Real Sociedad;Real Madrid;0;1;1;Away
32;22-04-2024 0:00;Sevilla;Mallorca;2;1;3;Home
32;21-04-2024 0:00;Real Madrid;Barcelona;3;2;5;Home
32;21-04-2024 0:00;Alaves;Atl. Madrid;2;0;2;Home
32;21-04-2024 0:00;Almeria;Villarreal;1;2;3;Away
32;21-04-2024 0:00;Getafe;Real Sociedad;1;1;2;Tie
32;20-04-2024 0:00;Girona;Cadiz CF;4;1;5;Home
32;20-04-2024 0:00;Valencia;Betis;1;2;3;Away
32;20-04-2024 0:00;Rayo Vallecano;Osasuna;2;1;3;Home
32;20-04-2024 0:00;Celta Vigo;Las Palmas;4;1;5;Home
32;19-04-2024 0:00;Ath Bilbao;Granada CF;1;1;2;Tie
31;15-04-2024 0:00;Osasuna;Valencia;0;1;1;Away
31;14-04-2024 0:00;Real Sociedad;Almeria;2;2;4;Tie
31;14-04-2024 0:00;Ath Bilbao;Villarreal;1;1;2;Tie
31;14-04-2024 0:00;Granada CF;Alaves;2;0;2;Home
31;14-04-2024 0:00;Las Palmas;Sevilla;0;2;2;Away
31;13-04-2024 0:00;Cadiz CF;Barcelona;0;1;1;Away
31;13-04-2024 0:00;Mallorca;Real Madrid;0;1;1;Away
31;13-04-2024 0:00;Rayo Vallecano;Getafe;0;0;0;Tie
31;13-04-2024 0:00;Atl. Madrid;Girona;3;1;4;Home
31;12-04-2024 0:00;Betis;Celta Vigo;2;1;3;Home
26;04-04-2024 0:00;Granada CF;Valencia;0;1;1;Away
30;01-04-2024 0:00;Villarreal;Atl. Madrid;1;2;3;Away
30;31-03-2024 0:00;Real Madrid;Ath Bilbao;2;0;2;Home
30;31-03-2024 0:00;Alaves;Real Sociedad;0;1;1;Away
30;31-03-2024 0:00;Girona;Betis;3;2;5;Home
30;31-03-2024 0:00;Celta Vigo;Rayo Vallecano;0;0;0;Tie
30;30-03-2024 0:00;Barcelona;Las Palmas;1;0;1;Home
30;30-03-2024 0:00;Valencia;Mallorca;0;0;0;Tie
30;30-03-2024 0:00;Almeria;Osasuna;0;3;3;Away
30;30-03-2024 0:00;Getafe;Sevilla;0;1;1;Away
30;29-03-2024 0:00;Cadiz CF;Granada CF;1;0;1;Home
29;17-03-2024 0:00;Atl. Madrid;Barcelona;0;3;3;Away
29;17-03-2024 0:00;Rayo Vallecano;Betis;2;0;2;Home
29;17-03-2024 0:00;Las Palmas;Almeria;0;1;1;Away
29;17-03-2024 0:00;Villarreal;Valencia;1;0;1;Home
29;17-03-2024 0:00;Sevilla;Celta Vigo;1;2;3;Away
29;16-03-2024 0:00;Ath Bilbao;Alaves;2;0;2;Home
29;16-03-2024 0:00;Getafe;Girona;1;0;1;Home
29;16-03-2024 0:00;Osasuna;Real Madrid;2;4;6;Away
29;16-03-2024 0:00;Mallorca;Granada CF;1;0;1;Home
29;15-03-2024 0:00;Real Sociedad;Cadiz CF;2;0;2;Home
28;11-03-2024 0:00;Almeria;Sevilla;2;2;4;Tie
28;10-03-2024 0:00;Betis;Villarreal;2;3;5;Away
28;10-03-2024 0:00;Real Madrid;Celta Vigo;4;0;4;Home
28;10-03-2024 0:00;Las Palmas;Ath Bilbao;0;2;2;Away
28;10-03-2024 0:00;Alaves;Rayo Vallecano;1;0;1;Home
28;09-03-2024 0:00;Girona;Osasuna;2;0;2;Home
28;09-03-2024 0:00;Granada CF;Real Sociedad;2;3;5;Away
28;09-03-2024 0:00;Cadiz CF;Atl. Madrid;2;0;2;Home
28;09-03-2024 0:00;Valencia;Getafe;1;0;1;Home
28;08-03-2024 0:00;Barcelona;Mallorca;1;0;1;Home
27;04-03-2024 0:00;Osasuna;Alaves;1;0;1;Home
27;03-03-2024 0:00;Ath Bilbao;Barcelona;0;0;0;Tie
27;03-03-2024 0:00;Mallorca;Girona;1;0;1;Home
27;03-03-2024 0:00;Atl. Madrid;Betis;2;1;3;Home
27;03-03-2024 0:00;Villarreal;Granada CF;5;1;6;Home
27;02-03-2024 0:00;Valencia;Real Madrid;2;2;4;Tie
27;02-03-2024 0:00;Getafe;Las Palmas;3;3;6;Tie
27;02-03-2024 0:00;Rayo Vallecano;Cadiz CF;1;1;2;Tie
27;02-03-2024 0:00;Sevilla;Real Sociedad;3;2;5;Home
27;01-03-2024 0:00;Celta Vigo;Almeria;1;0;1;Home
26;26-02-2024 0:00;Girona;Rayo Vallecano;3;0;3;Home
26;25-02-2024 0:00;Real Madrid;Sevilla;1;0;1;Home
26;25-02-2024 0:00;Las Palmas;Osasuna;1;1;2;Tie
26;25-02-2024 0:00;Betis;Ath Bilbao;3;1;4;Home
26;25-02-2024 0:00;Cadiz CF;Celta Vigo;2;2;4;Tie
26;24-02-2024 0:00;Almeria;Atl. Madrid;2;2;4;Tie
26;24-02-2024 0:00;Alaves;Mallorca;1;1;2;Tie
26;24-02-2024 0:00;Barcelona;Getafe;4;0;4;Home
26;23-02-2024 0:00;Real Sociedad;Villarreal;1;3;4;Away
25;19-02-2024 0:00;Ath Bilbao;Girona;3;2;5;Home
25;18-02-2024 0:00;Betis;Alaves;0;0;0;Tie
25;18-02-2024 0:00;Mallorca;Real Sociedad;1;2;3;Away
25;18-02-2024 0:00;Granada CF;Almeria;1;1;2;Tie
25;18-02-2024 0:00;Rayo Vallecano;Real Madrid;1;1;2;Tie
25;17-02-2024 0:00;Valencia;Sevilla;0;0;0;Tie
25;17-02-2024 0:00;Celta Vigo;Barcelona;1;2;3;Away
25;17-02-2024 0:00;Osasuna;Cadiz CF;2;0;2;Home
25;17-02-2024 0:00;Atl. Madrid;Las Palmas;5;0;5;Home
25;16-02-2024 0:00;Villarreal;Getafe;1;1;2;Tie
24;12-02-2024 0:00;Almeria;Ath Bilbao;0;0;0;Tie
24;11-02-2024 0:00;Barcelona;Granada CF;3;3;6;Tie
24;11-02-2024 0:00;Sevilla;Atl. Madrid;1;0;1;Home
24;11-02-2024 0:00;Mallorca;Rayo Vallecano;2;1;3;Home
24;11-02-2024 0:00;Getafe;Celta Vigo;3;2;5;Home
24;10-02-2024 0:00;Las Palmas;Valencia;2;0;2;Home
24;10-02-2024 0:00;Real Madrid;Girona;4;0;4;Home
24;10-02-2024 0:00;Real Sociedad;Osasuna;0;1;1;Away
24;10-02-2024 0:00;Alaves;Villarreal;1;1;2;Tie
24;09-02-2024 0:00;Cadiz CF;Betis;0;2;2;Away
23;05-02-2024 0:00;Rayo Vallecano;Sevilla;1;2;3;Away
23;04-02-2024 0:00;Real Madrid;Atl. Madrid;1;1;2;Tie
23;04-02-2024 0:00;Betis;Getafe;1;1;2;Tie
23;04-02-2024 0:00;Osasuna;Celta Vigo;0;3;3;Away
23;04-02-2024 0:00;Villarreal;Cadiz CF;0;0;0;Tie
23;03-02-2024 0:00;Girona;Real Sociedad;0;0;0;Tie
23;03-02-2024 0:00;Alaves;Barcelona;1;3;4;Away
23;03-02-2024 0:00;Granada CF;Las Palmas;1;1;2;Tie
23;03-02-2024 0:00;Valencia;Almeria;2;1;3;Home
23;02-02-2024 0:00;Ath Bilbao;Mallorca;4;0;4;Home
20;01-02-2024 0:00;Getafe;Real Madrid;0;2;2;Away
20;31-01-2024 0:00;Atl. Madrid;Rayo Vallecano;2;1;3;Home
20;31-01-2024 0:00;Barcelona;Osasuna;1;0;1;Home
22;29-01-2024 0:00;Getafe;Granada CF;2;0;2;Home
22;28-01-2024 0:00;Atl. Madrid;Valencia;2;0;2;Home
22;28-01-2024 0:00;Sevilla;Osasuna;1;1;2;Tie
22;28-01-2024 0:00;Cadiz CF;Ath Bilbao;0;0;0;Tie
22;28-01-2024 0:00;Celta Vigo;Girona;0;1;1;Away
22;27-01-2024 0:00;Mallorca;Betis;0;1;1;Away
22;27-01-2024 0:00;Barcelona;Villarreal;3;5;8;Away
22;27-01-2024 0:00;Las Palmas;Real Madrid;1;2;3;Away
22;27-01-2024 0:00;Real Sociedad;Rayo Vallecano;0;0;0;Tie
22;26-01-2024 0:00;Almeria;Alaves;0;3;3;Away
21;22-01-2024 0:00;Granada CF;Atl. Madrid;0;1;1;Away
21;21-01-2024 0:00;Girona;Sevilla;5;1;6;Home
21;21-01-2024 0:00;Betis;Barcelona;2;4;6;Away
21;21-01-2024 0:00;Real Madrid;Almeria;3;2;5;Home
21;21-01-2024 0:00;Osasuna;Getafe;3;2;5;Home
21;20-01-2024 0:00;Celta Vigo;Real Sociedad;0;1;1;Away
21;20-01-2024 0:00;Valencia;Ath Bilbao;1;0;1;Home
21;20-01-2024 0:00;Villarreal;Mallorca;1;1;2;Tie
21;20-01-2024 0:00;Rayo Vallecano;Las Palmas;0;2;2;Away
21;19-01-2024 0:00;Alaves;Cadiz CF;1;0;1;Home
20;14-01-2024 0:00;Cadiz CF;Valencia;1;4;5;Away
20;14-01-2024 0:00;Almeria;Girona;0;0;0;Tie
20;13-01-2024 0:00;Betis;Granada CF;1;0;1;Home
20;13-01-2024 0:00;Ath Bilbao;Real Sociedad;2;1;3;Home
20;13-01-2024 0:00;Mallorca;Celta Vigo;1;1;2;Tie
20;13-01-2024 0:00;Las Palmas;Villarreal;3;0;3;Home
20;12-01-2024 0:00;Sevilla;Alaves;2;3;5;Away
19;04-01-2024 0:00;Las Palmas;Barcelona;1;2;3;Away
19;04-01-2024 0:00;Sevilla;Ath Bilbao;0;2;2;Away
19;04-01-2024 0:00;Osasuna;Almeria;1;0;1;Home
19;03-01-2024 0:00;Girona;Atl. Madrid;4;3;7;Home
19;03-01-2024 0:00;Celta Vigo;Betis;2;1;3;Home
19;03-01-2024 0:00;Real Madrid;Mallorca;1;0;1;Home
19;03-01-2024 0:00;Granada CF;Cadiz CF;2;0;2;Home
19;02-01-2024 0:00;Valencia;Villarreal;3;1;4;Home
19;02-01-2024 0:00;Real Sociedad;Alaves;1;1;2;Tie
19;02-01-2024 0:00;Getafe;Rayo Vallecano;0;2;2;Away
4;23-12-2023 0:00;Atl. Madrid;Sevilla;1;0;1;Home
18;21-12-2023 0:00;Alaves;Real Madrid;0;1;1;Away
18;21-12-2023 0:00;Mallorca;Osasuna;3;2;5;Home
18;21-12-2023 0:00;Betis;Girona;1;1;2;Tie
18;21-12-2023 0:00;Cadiz CF;Real Sociedad;0;0;0;Tie
18;20-12-2023 0:00;Ath Bilbao;Las Palmas;1;0;1;Home
18;20-12-2023 0:00;Villarreal;Celta Vigo;3;2;5;Home
18;20-12-2023 0:00;Barcelona;Almeria;3;2;5;Home
18;19-12-2023 0:00;Atl. Madrid;Getafe;3;3;6;Tie
18;19-12-2023 0:00;Granada CF;Sevilla;0;3;3;Away
18;19-12-2023 0:00;Rayo Vallecano;Valencia;0;1;1;Away
17;18-12-2023 0:00;Girona;Alaves;3;0;3;Home
17;17-12-2023 0:00;Real Madrid;Villarreal;4;1;5;Home
17;17-12-2023 0:00;Las Palmas;Cadiz CF;1;1;2;Tie
17;17-12-2023 0:00;Real Sociedad;Betis;0;0;0;Tie
17;17-12-2023 0:00;Almeria;Mallorca;0;0;0;Tie
17;16-12-2023 0:00;Valencia;Barcelona;1;1;2;Tie
17;16-12-2023 0:00;Sevilla;Getafe;0;3;3;Away
17;16-12-2023 0:00;Ath Bilbao;Atl. Madrid;2;0;2;Home
17;16-12-2023 0:00;Celta Vigo;Granada CF;1;0;1;Home
17;15-12-2023 0:00;Osasuna;Rayo Vallecano;1;0;1;Home
16;11-12-2023 0:00;Granada CF;Ath Bilbao;1;1;2;Tie
16;11-12-2023 0:00;Rayo Vallecano;Celta Vigo;0;0;0;Tie
16;10-12-2023 0:00;Barcelona;Girona;2;4;6;Away
16;10-12-2023 0:00;Cadiz CF;Osasuna;1;1;2;Tie
16;10-12-2023 0:00;Atl. Madrid;Almeria;2;1;3;Home
16;09-12-2023 0:00;Mallorca;Sevilla;1;0;1;Home
16;09-12-2023 0:00;Villarreal;Real Sociedad;0;3;3;Away
16;09-12-2023 0:00;Betis;Real Madrid;1;1;2;Tie
16;09-12-2023 0:00;Alaves;Las Palmas;0;1;1;Away
16;08-12-2023 0:00;Getafe;Valencia;1;0;1;Home
15;04-12-2023 0:00;Celta Vigo;Cadiz CF;1;1;2;Tie
15;03-12-2023 0:00;Barcelona;Atl. Madrid;1;0;1;Home
15;03-12-2023 0:00;Sevilla;Villarreal;1;1;2;Tie
15;03-12-2023 0:00;Almeria;Betis;0;0;0;Tie
15;03-12-2023 0:00;Mallorca;Alaves;0;0;0;Tie
15;02-12-2023 0:00;Osasuna;Real Sociedad;1;1;2;Tie
15;02-12-2023 0:00;Real Madrid;Granada CF;2;0;2;Home
15;02-12-2023 0:00;Ath Bilbao;Rayo Vallecano;4;0;4;Home
15;02-12-2023 0:00;Girona;Valencia;2;1;3;Home
15;01-12-2023 0:00;Las Palmas;Getafe;2;0;2;Home
13;29-11-2023 0:00;Mallorca;Cadiz CF;1;1;2;Tie
14;27-11-2023 0:00;Girona;Ath Bilbao;1;1;2;Tie
14;26-11-2023 0:00;Betis;Las Palmas;1;0;1;Home
14;26-11-2023 0:00;Cadiz CF;Real Madrid;0;3;3;Away
14;26-11-2023 0:00;Real Sociedad;Sevilla;2;1;3;Home
14;26-11-2023 0:00;Villarreal;Osasuna;3;1;4;Home
14;25-11-2023 0:00;Atl. Madrid;Mallorca;1;0;1;Home
14;25-11-2023 0:00;Getafe;Almeria;2;1;3;Home
14;25-11-2023 0:00;Valencia;Celta Vigo;0;0;0;Tie
14;25-11-2023 0:00;Rayo Vallecano;Barcelona;1;1;2;Tie
14;24-11-2023 0:00;Alaves;Granada CF;3;1;4;Home
13;12-11-2023 0:00;Atl. Madrid;Villarreal;3;1;4;Home
13;12-11-2023 0:00;Sevilla;Betis;1;1;2;Tie
13;12-11-2023 0:00;Barcelona;Alaves;2;1;3;Home
13;11-11-2023 0:00;Real Madrid;Valencia;5;1;6;Home
13;11-11-2023 0:00;Granada CF;Getafe;1;1;2;Tie
13;11-11-2023 0:00;Osasuna;Las Palmas;1;1;2;Tie
13;11-11-2023 0:00;Almeria;Real Sociedad;1;3;4;Away
13;11-11-2023 0:00;Rayo Vallecano;Girona;1;2;3;Away
13;10-11-2023 0:00;Ath Bilbao;Celta Vigo;4;3;7;Home
12;06-11-2023 0:00;Getafe;Cadiz CF;1;0;1;Home
12;05-11-2023 0:00;Real Madrid;Rayo Vallecano;0;0;0;Tie
12;05-11-2023 0:00;Villarreal;Ath Bilbao;2;3;5;Away
12;05-11-2023 0:00;Valencia;Granada CF;1;0;1;Home
12;05-11-2023 0:00;Alaves;Almeria;1;0;1;Home
12;04-11-2023 0:00;Real Sociedad;Barcelona;0;1;1;Away
12;04-11-2023 0:00;Celta Vigo;Sevilla;1;1;2;Tie
12;04-11-2023 0:00;Betis;Mallorca;2;0;2;Home
12;04-11-2023 0:00;Osasuna;Girona;2;4;6;Away
12;03-11-2023 0:00;Las Palmas;Atl. Madrid;2;1;3;Home
11;30-10-2023 0:00;Granada CF;Villarreal;2;3;5;Away
11;29-10-2023 0:00;Atl. Madrid;Alaves;2;1;3;Home
11;29-10-2023 0:00;Ath Bilbao;Valencia;2;2;4;Tie
11;29-10-2023 0:00;Rayo Vallecano;Real Sociedad;2;2;4;Tie
11;29-10-2023 0:00;Betis;Osasuna;2;1;3;Home
11;28-10-2023 0:00;Cadiz CF;Sevilla;2;2;4;Tie
11;28-10-2023 0:00;Mallorca;Getafe;0;0;0;Tie
11;28-10-2023 0:00;Barcelona;Real Madrid;1;2;3;Away
11;28-10-2023 0:00;Almeria;Las Palmas;1;2;3;Away
11;27-10-2023 0:00;Girona;Celta Vigo;1;0;1;Home
10;23-10-2023 0:00;Valencia;Cadiz CF;2;0;2;Home
10;22-10-2023 0:00;Barcelona;Ath Bilbao;1;0;1;Home
10;22-10-2023 0:00;Villarreal;Alaves;1;1;2;Tie
10;22-10-2023 0:00;Girona;Almeria;5;2;7;Home
10;22-10-2023 0:00;Las Palmas;Rayo Vallecano;0;1;1;Away
10;21-10-2023 0:00;Celta Vigo;Atl. Madrid;0;3;3;Away
10;21-10-2023 0:00;Sevilla;Real Madrid;1;1;2;Tie
10;21-10-2023 0:00;Getafe;Betis;1;1;2;Tie
10;21-10-2023 0:00;Real Sociedad;Mallorca;1;0;1;Home
10;20-10-2023 0:00;Osasuna;Granada CF;2;0;2;Home
9;08-10-2023 0:00;Granada CF;Barcelona;2;2;4;Tie
9;08-10-2023 0:00;Alaves;Betis;1;1;2;Tie
9;08-10-2023 0:00;Celta Vigo;Getafe;2;2;4;Tie
9;08-10-2023 0:00;Atl. Madrid;Real Sociedad;2;1;3;Home
9;08-10-2023 0:00;Villarreal;Las Palmas;1;2;3;Away
9;07-10-2023 0:00;Sevilla;Rayo Vallecano;2;2;4;Tie
9;07-10-2023 0:00;Mallorca;Valencia;1;1;2;Tie
9;07-10-2023 0:00;Real Madrid;Osasuna;4;0;4;Home
9;07-10-2023 0:00;Cadiz CF;Girona;0;1;1;Away
9;06-10-2023 0:00;Ath Bilbao;Almeria;3;0;3;Home
8;02-10-2023 0:00;Las Palmas;Celta Vigo;2;1;3;Home
8;01-10-2023 0:00;Atl. Madrid;Cadiz CF;3;2;5;Home
8;01-10-2023 0:00;Betis;Valencia;3;0;3;Home
8;01-10-2023 0:00;Alaves;Osasuna;0;2;2;Away
8;01-10-2023 0:00;Almeria;Granada CF;3;3;6;Tie
8;30-09-2023 0:00;Real Sociedad;Ath Bilbao;3;0;3;Home
8;30-09-2023 0:00;Girona;Real Madrid;0;3;3;Away
8;30-09-2023 0:00;Rayo Vallecano;Mallorca;2;2;4;Tie
8;30-09-2023 0:00;Getafe;Villarreal;0;0;0;Tie
8;29-09-2023 0:00;Barcelona;Sevilla;1;0;1;Home
7;28-09-2023 0:00;Osasuna;Atl. Madrid;0;2;2;Away
7;28-09-2023 0:00;Celta Vigo;Alaves;1;1;2;Tie
7;28-09-2023 0:00;Granada CF;Betis;1;1;2;Tie
7;27-09-2023 0:00;Cadiz CF;Rayo Vallecano;0;0;0;Tie
7;27-09-2023 0:00;Valencia;Real Sociedad;0;1;1;Away
7;27-09-2023 0:00;Ath Bilbao;Getafe;2;2;4;Tie
7;27-09-2023 0:00;Real Madrid;Las Palmas;2;0;2;Home
7;27-09-2023 0:00;Villarreal;Girona;1;2;3;Away
7;26-09-2023 0:00;Mallorca;Barcelona;2;2;4;Tie
7;26-09-2023 0:00;Sevilla;Almeria;5;1;6;Home
6;24-09-2023 0:00;Atl. Madrid;Real Madrid;3;1;4;Home
6;24-09-2023 0:00;Betis;Cadiz CF;1;1;2;Tie
6;24-09-2023 0:00;Las Palmas;Granada CF;1;0;1;Home
6;24-09-2023 0:00;Rayo Vallecano;Villarreal;1;1;2;Tie
6;24-09-2023 0:00;Real Sociedad;Getafe;4;3;7;Home
6;23-09-2023 0:00;Almeria;Valencia;2;2;4;Tie
6;23-09-2023 0:00;Barcelona;Celta Vigo;3;2;5;Home
6;23-09-2023 0:00;Osasuna;Sevilla;0;0;0;Tie
6;23-09-2023 0:00;Girona;Mallorca;5;3;8;Home
6;22-09-2023 0:00;Alaves;Ath Bilbao;0;2;2;Away
5;18-09-2023 0:00;Granada CF;Girona;2;4;6;Away
5;17-09-2023 0:00;Real Madrid;Real Sociedad;2;1;3;Home
5;17-09-2023 0:00;Sevilla;Las Palmas;1;0;1;Home
5;17-09-2023 0:00;Villarreal;Almeria;2;1;3;Home
5;17-09-2023 0:00;Getafe;Osasuna;3;2;5;Home
5;16-09-2023 0:00;Barcelona;Betis;5;0;5;Home
5;16-09-2023 0:00;Celta Vigo;Mallorca;0;1;1;Away
5;16-09-2023 0:00;Valencia;Atl. Madrid;3;0;3;Home
5;16-09-2023 0:00;Ath Bilbao;Cadiz CF;3;0;3;Home
5;15-09-2023 0:00;Rayo Vallecano;Alaves;2;0;2;Home
4;03-09-2023 0:00;Osasuna;Barcelona;1;2;3;Away
4;03-09-2023 0:00;Mallorca;Ath Bilbao;0;0;0;Tie
4;03-09-2023 0:00;Girona;Las Palmas;1;0;1;Home
4;02-09-2023 0:00;Betis;Rayo Vallecano;1;0;1;Home
4;02-09-2023 0:00;Alaves;Valencia;1;0;1;Home
4;02-09-2023 0:00;Real Madrid;Getafe;2;1;3;Home
4;02-09-2023 0:00;Real Sociedad;Granada CF;5;3;8;Home
4;01-09-2023 0:00;Almeria;Celta Vigo;2;3;5;Away
4;01-09-2023 0:00;Cadiz CF;Villarreal;3;1;4;Home
3;28-08-2023 0:00;Rayo Vallecano;Atl. Madrid;0;7;7;Away
3;28-08-2023 0:00;Getafe;Alaves;1;0;1;Home
3;27-08-2023 0:00;Ath Bilbao;Betis;4;2;6;Home
3;27-08-2023 0:00;Valencia;Osasuna;1;2;3;Away
3;27-08-2023 0:00;Villarreal;Barcelona;3;4;7;Away
3;26-08-2023 0:00;Sevilla;Girona;1;2;3;Away
3;26-08-2023 0:00;Granada CF;Mallorca;3;2;5;Home
3;26-08-2023 0:00;Cadiz CF;Almeria;1;1;2;Tie
3;25-08-2023 0:00;Celta Vigo;Real Madrid;0;1;1;Away
3;25-08-2023 0:00;Las Palmas;Real Sociedad;0;0;0;Tie
2;21-08-2023 0:00;Granada CF;Rayo Vallecano;0;2;2;Away
2;21-08-2023 0:00;Alaves;Sevilla;4;3;7;Home
2;20-08-2023 0:00;Betis;Atl. Madrid;0;0;0;Tie
2;20-08-2023 0:00;Barcelona;Cadiz CF;2;0;2;Home
2;20-08-2023 0:00;Girona;Getafe;3;0;3;Home
2;19-08-2023 0:00;Osasuna;Ath Bilbao;0;2;2;Away
2;19-08-2023 0:00;Almeria;Real Madrid;1;3;4;Away
2;19-08-2023 0:00;Real Sociedad;Celta Vigo;1;1;2;Tie
2;18-08-2023 0:00;Valencia;Las Palmas;1;0;1;Home
2;18-08-2023 0:00;Mallorca;Villarreal;0;1;1;Away
1;14-08-2023 0:00;Atl. Madrid;Granada CF;3;1;4;Home
1;14-08-2023 0:00;Cadiz CF;Alaves;1;0;1;Home
1;13-08-2023 0:00;Getafe;Barcelona;0;0;0;Tie
1;13-08-2023 0:00;Villarreal;Betis;1;2;3;Away
1;13-08-2023 0:00;Celta Vigo;Osasuna;0;2;2;Away
1;12-08-2023 0:00;Ath Bilbao;Real Madrid;0;2;2;Away
1;12-08-2023 0:00;Las Palmas;Mallorca;1;1;2;Tie
1;12-08-2023 0:00;Real Sociedad;Girona;1;1;2;Tie
1;11-08-2023 0:00;Sevilla;Valencia;1;2;3;Away
1;11-08-2023 0:00;Almeria;Rayo Vallecano;0;2;2;Away
